attendance_id,student_id,class_id,attendance_date,status
1,829,12,2024-10-29 05:22:44.895771,Present
2,182,12,2024-10-26 05:22:44.895816,Absent
3,1288,8,2024-10-16 05:22:44.895824,Absent
4,4532,4,2024-10-22 05:22:44.895829,Absent
5,2374,1,2024-10-05 05:22:44.895833,Present
6,1374,8,2024-10-21 05:22:44.895840,Present
7,4648,10,2024-10-27 05:22:44.895845,Absent
8,2995,9,2024-10-28 05:22:44.895852,Absent
9,356,10,2024-10-23 05:22:44.895858,Absent
10,3782,8,2024-10-24 05:22:44.895864,Present
11,973,2,2024-10-29 05:22:44.895868,Present
12,1994,11,2024-10-21 05:22:44.895873,Present
13,1379,7,2024-10-31 05:22:44.895878,Present
14,4535,10,2024-10-19 05:22:44.895882,Absent
15,1646,11,2024-11-02 05:22:44.895887,Absent
16,4074,7,2024-10-28 05:22:44.895891,Present
17,2419,12,2024-10-22 05:22:44.895896,Present
18,1132,11,2024-10-20 05:22:44.895901,Present
19,4603,3,2024-11-03 05:22:44.895906,Absent
20,2979,11,2024-10-12 05:22:44.895911,Absent
21,2443,11,2024-10-29 05:22:44.895916,Present
22,4629,2,2024-10-29 05:22:44.895920,Absent
23,4560,4,2024-10-07 05:22:44.895927,Absent
24,3831,1,2024-10-12 05:22:44.895931,Absent
25,84,7,2024-10-08 05:22:44.895936,Absent
26,377,7,2024-10-28 05:22:44.895941,Absent
27,258,5,2024-10-05 05:22:44.895946,Present
28,3518,11,2024-10-31 05:22:44.895951,Absent
29,1459,2,2024-10-26 05:22:44.895955,Present
30,124,2,2024-10-21 05:22:44.895960,Present
31,4442,6,2024-10-15 05:22:44.895965,Absent
32,980,2,2024-10-26 05:22:44.895969,Absent
33,2993,4,2024-10-05 05:22:44.895974,Present
34,4496,11,2024-10-28 05:22:44.895979,Absent
35,982,11,2024-10-23 05:22:44.895984,Present
36,421,4,2024-10-13 05:22:44.895989,Absent
37,4988,8,2024-10-12 05:22:44.895994,Present
38,3628,6,2024-10-16 05:22:44.895998,Absent
39,210,1,2024-10-29 05:22:44.896003,Absent
40,4804,5,2024-10-13 05:22:44.896008,Absent
41,3413,12,2024-10-30 05:22:44.896012,Absent
42,4854,2,2024-10-14 05:22:44.896017,Present
43,1921,7,2024-11-01 05:22:44.896022,Absent
44,319,11,2024-11-01 05:22:44.896027,Present
45,294,7,2024-10-11 05:22:44.896031,Absent
46,271,1,2024-11-01 05:22:44.896036,Present
47,4112,9,2024-10-31 05:22:44.896041,Present
48,1838,1,2024-10-31 05:22:44.896045,Present
49,4242,8,2024-10-21 05:22:44.896050,Present
50,2601,2,2024-10-16 05:22:44.896055,Absent
51,900,11,2024-10-07 05:22:44.896059,Absent
52,4615,9,2024-10-12 05:22:44.896064,Absent
53,263,2,2024-10-15 05:22:44.896069,Present
54,4851,3,2024-10-17 05:22:44.896074,Absent
55,812,1,2024-10-29 05:22:44.896078,Present
56,285,8,2024-10-12 05:22:44.896083,Absent
57,2321,3,2024-11-01 05:22:44.896088,Absent
58,2541,2,2024-10-18 05:22:44.896092,Absent
59,2074,8,2024-10-15 05:22:44.896097,Absent
60,4460,2,2024-10-23 05:22:44.896101,Absent
61,4803,2,2024-10-29 05:22:44.896106,Present
62,1560,6,2024-11-03 05:22:44.896111,Absent
63,1323,2,2024-10-21 05:22:44.896115,Present
64,212,12,2024-10-14 05:22:44.896120,Absent
65,1505,10,2024-10-07 05:22:44.896125,Present
66,2462,9,2024-10-16 05:22:44.896130,Present
67,4958,11,2024-10-21 05:22:44.896135,Present
68,3231,10,2024-10-18 05:22:44.896139,Absent
69,1128,1,2024-10-13 05:22:44.896144,Absent
70,1639,10,2024-10-20 05:22:44.896148,Absent
71,408,4,2024-10-25 05:22:44.896153,Present
72,20,6,2024-10-14 05:22:44.896158,Present
73,2026,6,2024-10-29 05:22:44.896163,Present
74,4548,3,2024-10-23 05:22:44.896167,Absent
75,1944,8,2024-10-21 05:22:44.896172,Absent
76,971,8,2024-11-03 05:22:44.896176,Absent
77,2146,2,2024-10-20 05:22:44.896181,Present
78,3756,12,2024-10-25 05:22:44.896186,Present
79,3288,3,2024-10-27 05:22:44.896191,Present
