grade_id,student_id,subject_id,grade,exam_date
1,4902,34,C,2024-08-12 05:22:44.751601
2,3988,9,F,2024-08-01 05:22:44.751625
3,1928,31,B,2024-09-02 05:22:44.751632
4,3341,27,B,2024-10-13 05:22:44.751637
5,1220,39,F,2024-10-07 05:22:44.751642
6,1738,49,A,2024-10-04 05:22:44.751648
7,4831,46,B,2024-09-12 05:22:44.751653
8,2150,4,C,2024-08-05 05:22:44.751659
9,296,28,A,2024-09-30 05:22:44.751666
10,1828,31,B,2024-09-23 05:22:44.751672
11,3440,18,B,2024-10-01 05:22:44.751677
12,4157,36,B,2024-08-21 05:22:44.751682
13,1753,41,A,2024-09-11 05:22:44.751687
14,4278,44,A,2024-09-16 05:22:44.751692
15,3092,35,B,2024-07-28 05:22:44.751696
16,2459,41,A,2024-08-14 05:22:44.751701
17,1288,14,B,2024-08-23 05:22:44.751705
18,1628,12,D,2024-10-25 05:22:44.751711
19,275,25,A,2024-09-20 05:22:44.751716
20,847,5,D,2024-10-07 05:22:44.751720
21,2923,44,D,2024-09-09 05:22:44.751724
22,4724,19,C,2024-09-25 05:22:44.751729
23,1645,22,B,2024-09-08 05:22:44.751734
24,4941,9,B,2024-09-18 05:22:44.751738
25,1110,43,F,2024-07-27 05:22:44.751743
26,3019,6,A,2024-08-01 05:22:44.751748
27,1319,50,B,2024-09-08 05:22:44.751752
28,868,35,B,2024-09-07 05:22:44.751757
29,3806,38,B,2024-09-15 05:22:44.751762
30,2683,8,C,2024-10-17 05:22:44.751766
31,4459,37,A,2024-08-19 05:22:44.751771
32,2684,30,B,2024-09-03 05:22:44.751776
33,1013,16,D,2024-08-28 05:22:44.751781
34,413,36,A,2024-10-06 05:22:44.751787
35,1256,26,A,2024-10-06 05:22:44.751792
36,327,4,B,2024-09-05 05:22:44.751796
37,3807,16,A,2024-09-04 05:22:44.751801
38,26,15,C,2024-08-31 05:22:44.751806
39,1906,26,D,2024-09-20 05:22:44.751811
40,1522,14,A,2024-09-14 05:22:44.751816
41,3390,32,B,2024-08-25 05:22:44.751821
42,3709,28,B,2024-09-02 05:22:44.751825
43,1837,22,F,2024-10-08 05:22:44.751830
44,3784,28,F,2024-10-20 05:22:44.751835
45,2691,44,A,2024-10-03 05:22:44.751839
46,2691,10,C,2024-09-08 05:22:44.751844
47,4278,15,B,2024-10-14 05:22:44.751848
48,3992,16,A,2024-09-12 05:22:44.751853
49,4807,3,A,2024-08-08 05:22:44.751858
50,4559,19,D,2024-08-05 05:22:44.751863
51,4822,39,B,2024-10-04 05:22:44.751868
52,2154,50,F,2024-09-07 05:22:44.751873
53,4611,17,F,2024-08-26 05:22:44.751877
54,4137,33,F,2024-07-28 05:22:44.751883
55,3907,1,D,2024-07-27 05:22:44.751888
56,3091,3,B,2024-08-12 05:22:44.751893
57,4038,18,B,2024-09-19 05:22:44.751898
58,4665,18,A,2024-10-25 05:22:44.751903
59,4291,46,D,2024-10-08 05:22:44.751907
60,4309,40,C,2024-08-31 05:22:44.751912
61,4137,17,F,2024-09-20 05:22:44.751917
62,4993,17,D,2024-10-13 05:22:44.751921
63,2142,17,A,2024-10-25 05:22:44.751926
64,4900,13,B,2024-08-16 05:22:44.751931
65,3828,48,A,2024-09-04 05:22:44.751935
